age,income,score,balance,region,label
67.0,73395.45,0.5933,4006.39,north,1
30.0,58606.57,0.3476,89.46,north,1
68.4,62551.83,0.7107,-1140.36,west,1
28.8,82291.50,0.0239,7324.26,east,1
44.3,54459.80,1.0345,5387.19,west,1
43.9,,0.4907,10964.65,east,1
65.6,76114.01,-1.8067,3510.68,south,0
20.1,68572.47,0.1777,8164.67,south,1
34.4,84971.11,0.7522,5483.38,east,1
49.2,66844.89,0.0164,6501.58,south,0
21.5,73387.53,1.4409,5247.02,north,1
30.3,51055.31,-0.4752,8356.29,east,0
42.2,44247.81,0.6785,6585.01,east,1
63.8,60304.87,-1.2484,3621.06,north,0
57.6,14678.12,-0.0190,4725.60,west,0
61.1,67507.65,-0.5681,4345.73,north,0
57.6,77214.88,-1.0195,5279.48,north,0
54.8,61780.41,-1.3250,5717.41,south,0
62.2,56659.82,0.2053,3750.76,east,1
53.4,,0.4099,3303.15,east,1
56.3,59734.46,-0.6528,5010.52,south,0
33.7,77372.35,-1.2553,-291.40,north,1
26.7,,-0.8946,6253.60,west,1
57.3,72944.37,0.7424,6154.33,south,1
26.6,76645.50,-1.2201,-4287.01,east,1
65.8,68981.67,1.1205,1747.67,east,1
49.0,64800.91,-1.6865,4968.15,west,0
35.1,65224.15,0.2621,-1726.03,north,1
66.7,61637.83,0.6497,6344.10,south,1
26.1,79148.85,1.2046,7989.53,north,1
44.8,32678.19,-0.4454,6447.61,north,0
22.8,55867.74,-0.7809,7861.83,east,0
68.2,71794.82,-1.4386,4713.79,east,0
47.9,45942.83,0.8937,7592.20,west,1
59.8,58663.06,-0.1443,7128.24,west,1
32.7,48520.63,-0.4745,4644.53,east,0
59.7,68062.50,-0.4342,5286.50,east,0
54.5,75353.31,0.2387,25.67,south,1
51.5,85501.97,0.0179,963.55,east,1
67.4,69123.78,1.1652,8052.98,west,1
40.5,48104.28,-2.1656,8138.61,east,0
39.6,64809.87,0.8307,2560.60,north,1
54.0,70276.18,-0.5460,419.79,south,0
61.4,84760.92,-0.0915,-937.54,north,1
35.4,23564.84,-0.3274,8487.65,north,0
52.8,66863.54,-0.0978,6045.99,west,0
28.9,29031.93,0.7429,10757.04,north,1
46.7,72782.04,0.2095,8832.36,north,1
58.0,68132.72,-1.4540,11118.66,west,0
21.4,69066.47,-0.0785,7514.08,south,1
55.8,75705.02,-0.1088,3327.43,south,1
18.8,67105.69,0.3605,3992.00,west,1
67.8,49354.60,0.0305,8354.15,east,0
42.4,66520.35,-0.0904,723.04,north,1
39.3,81121.53,1.0158,6722.29,north,1
55.5,58479.88,-1.0980,3765.48,south,0
45.2,60958.50,2.1706,8880.25,south,0
56.0,39624.23,-0.5725,3332.56,east,0
22.4,80429.30,-1.0440,2799.37,south,1
47.3,51798.64,0.7754,7884.71,east,1
47.0,47708.26,1.0669,-4681.29,south,1
66.5,52786.92,1.2435,8207.94,south,1
20.1,45669.54,1.4519,5885.60,north,1
41.5,56156.60,0.4710,3199.92,north,1
50.8,82406.14,0.0583,6999.21,south,1
46.6,74112.30,0.3713,3544.53,east,1
21.9,84968.22,-0.0086,6882.87,south,1
48.8,86031.24,-0.5475,5274.03,west,1
29.6,45083.39,1.6000,7277.51,south,0
28.2,68736.34,1.8130,2128.44,south,1
63.7,86243.84,0.0044,2969.72,south,1
28.3,99942.23,-0.2331,10549.55,south,1
41.6,36158.08,-0.4940,5926.95,south,0
57.0,35988.57,-1.6860,4450.14,north,0
54.8,68519.39,-0.6801,2269.18,south,0
46.8,54705.90,-0.5185,3425.56,south,0
60.0,43384.81,-0.0216,5700.30,west,0
42.2,67006.38,-1.0027,1347.62,south,0
50.3,46917.09,-1.9033,4859.40,south,0
60.6,21469.51,0.6521,4212.39,west,0
53.3,60049.36,1.7215,-909.07,north,1
51.4,62596.79,-2.1292,5017.01,east,0
39.1,71391.80,,8668.80,east,0
47.0,76597.13,0.8564,3677.88,north,1
38.6,63570.31,-1.1658,4343.97,west,0
56.7,56370.45,-1.4353,5765.30,east,0
37.8,48981.81,0.0350,3171.83,east,0
42.3,32118.41,-0.2317,-263.65,north,0
57.3,52890.07,-0.6350,5076.08,north,0
44.2,77552.65,1.6459,3641.63,west,1
35.6,71608.11,1.5017,3037.93,north,1
61.0,95669.46,0.6595,9159.87,north,1
37.8,57792.93,-0.0616,5315.87,north,1
61.9,29748.38,-0.3197,2739.45,north,0
58.8,74612.76,0.8920,2916.35,south,0
41.3,78225.22,-0.2254,9774.63,west,1
55.1,40320.80,1.4989,7421.33,south,0
19.8,32666.04,1.2592,-368.95,south,0
38.3,63008.99,-0.5913,6804.51,south,1
62.7,72614.36,0.7757,3486.52,east,1
48.1,41134.60,1.5839,3226.09,east,1
47.0,54545.44,0.6732,8362.67,west,1
52.6,47035.56,-0.9260,7140.10,north,0
53.2,40057.63,-0.2467,2430.40,south,0
48.3,37743.43,-0.3173,4929.50,south,0
39.9,62763.99,0.1456,6902.92,south,1
27.5,53954.94,0.0575,4627.25,west,0
33.2,48821.66,-0.3248,6232.52,east,0
33.2,15519.72,0.8879,2884.23,south,0
40.4,90374.95,1.3850,8875.72,south,1
70.0,44112.59,-0.5305,9358.81,north,0
36.3,57977.09,-1.4405,2998.85,east,1
41.3,40771.30,0.4084,710.03,east,0
37.3,66826.47,0.0444,3564.08,north,1
48.2,34378.81,0.4621,7594.96,east,0
67.3,61915.73,-0.6416,5610.17,north,0
64.2,57062.72,0.3355,4821.61,south,0
37.6,76070.80,-0.8650,5533.03,west,0
31.9,41451.70,1.1375,534.20,north,0
64.0,49130.43,1.7304,4854.30,south,1
43.7,56232.32,-0.8797,4676.12,west,0
53.6,96259.79,-2.5457,3081.97,north,1
21.8,34939.96,-0.4355,7369.86,north,0
63.1,65258.98,-0.4712,3011.85,south,0
34.3,48995.34,0.2528,3060.11,south,1
43.7,65596.16,0.0790,7095.29,north,1
28.3,71469.51,0.5544,6894.32,north,1
39.9,62656.43,2.7756,5206.26,north,1
61.1,64741.68,-0.4954,5685.03,east,1
61.0,65024.94,-0.3103,6166.58,south,0
42.6,50124.05,0.4977,6004.98,south,0
57.9,56498.72,-1.7847,2037.94,south,0
41.8,31735.61,0.8532,7505.28,west,0
37.4,,-0.5550,11057.79,south,0
46.4,46988.21,-1.3689,6153.11,south,0
28.5,55814.75,-0.7769,4198.79,west,1
34.5,72839.09,0.5732,8530.94,south,1
54.7,66747.07,0.9126,6886.53,west,1
58.1,68263.14,1.3200,2736.77,east,1
20.9,79131.17,0.5116,4705.97,west,1
56.1,19202.23,-0.6479,3264.00,south,0
60.5,67553.90,0.6322,8085.85,north,1
41.2,59741.06,-0.0023,1043.47,north,1
21.2,58466.01,2.4170,8773.95,north,0
53.5,37697.66,-1.9798,2955.11,south,1
30.8,69585.46,1.6921,5894.29,south,0
51.5,79863.25,0.8515,3684.32,east,1
37.6,77792.49,0.4908,6151.25,north,1
51.1,58652.68,-0.0085,8493.82,west,0
31.4,71094.92,-0.4772,6889.33,south,1
42.8,75962.83,-0.8791,1335.05,west,0
45.3,91437.75,-1.4720,4219.93,south,0
50.8,81191.45,2.1268,5405.03,west,1
28.6,62550.20,1.0267,10666.39,south,0
68.0,61732.59,0.7637,3454.29,west,1
33.0,62973.85,0.4544,3790.92,west,1
33.9,64004.87,-1.8253,2665.92,north,1
31.3,51569.49,-0.1850,4840.18,west,0
21.5,73356.68,0.2165,6989.08,east,1
40.0,48206.46,1.2543,2013.18,east,0
58.1,46324.14,-0.9066,9228.74,east,0
54.9,66183.99,0.3690,8801.53,west,1
28.2,50231.45,-0.1405,7425.77,east,0
25.1,55885.80,0.1284,6881.35,east,0
34.7,24412.25,-0.6808,12368.47,west,0
57.9,73726.08,0.4615,1807.53,south,1
43.4,59968.16,0.1819,3341.51,south,1
66.0,57883.61,-1.7684,11489.92,west,0
52.1,68021.96,1.3165,1302.43,west,1
50.3,63678.90,2.3011,5947.34,south,1
57.9,48049.32,-0.7738,4482.07,north,0
57.0,94504.75,1.2552,2178.29,south,1
35.9,52321.20,-0.8736,2140.70,east,0
31.4,76794.08,-0.4223,4352.67,south,0
40.8,91498.16,1.8685,5816.31,north,1
43.4,49400.33,0.3089,6484.36,south,0
25.4,61667.62,1.6261,6788.31,west,0
40.9,46000.61,0.4039,5209.60,east,0
51.3,78091.37,1.1238,5095.61,west,1
25.1,54303.51,-0.0521,6842.67,east,0
25.2,41156.82,1.5485,3082.96,east,0
27.0,,1.9038,990.62,west,1
32.7,75814.30,0.7959,7526.73,west,1
68.0,44786.90,-0.4478,-1275.51,west,0
19.3,80372.07,-0.2491,6684.51,north,1
27.6,63402.73,-0.8240,8850.14,south,0
26.6,106681.45,0.7266,1228.21,west,1
42.7,89506.00,0.6435,-1735.51,west,1
18.8,50510.46,-0.5750,2419.45,south,0
41.8,55412.86,1.0418,5922.22,east,1
26.5,44973.34,-0.4529,2073.31,south,0
32.0,62325.14,,8110.63,north,0
59.2,60846.23,0.9516,6936.07,north,1
27.6,72675.15,1.7175,2007.39,east,1
50.1,61515.46,-0.5844,7310.67,west,0
39.1,34759.70,-0.8670,644.46,north,0
39.7,46089.07,-1.6961,3623.07,north,0
60.5,,0.7771,5680.08,south,1
26.4,79861.73,-0.9926,8998.00,south,1
66.0,57243.88,1.4759,7380.89,north,1
64.5,57683.38,0.2778,9521.67,south,1
52.8,57122.17,0.8980,610.11,north,1
20.6,60402.76,-1.1476,14698.61,north,0
52.5,31181.66,-0.4568,2325.21,north,0
49.2,75387.07,0.3202,5829.06,west,1
58.2,48708.00,0.8739,9723.05,west,1
29.1,62534.24,-1.1492,6549.71,east,0
67.6,16586.28,0.4805,8643.19,west,0
64.1,64030.67,-0.6883,1277.65,east,0
23.9,82998.11,0.9491,1585.83,east,1
34.4,21602.03,-0.0886,3649.79,south,0
19.7,86108.26,-0.1583,3278.99,south,1
61.2,68123.20,0.5752,5327.73,east,1
65.6,47408.84,1.2945,4003.52,west,1
69.5,32759.60,-0.1013,1458.90,north,0
49.8,79985.74,1.3626,5661.75,north,1
52.6,64487.81,-0.8561,729.56,east,0
53.3,70195.38,0.4226,2879.54,south,1
47.6,55336.79,-0.9770,5949.63,south,0
67.5,46304.66,0.3526,2265.03,south,1
49.6,74963.34,-0.7704,4927.70,east,1
35.5,43592.28,0.1741,6965.13,north,0
44.7,75493.23,0.7600,9486.57,east,1
19.0,31278.15,-0.8238,8632.13,north,0
55.7,44094.35,-1.6101,7669.51,south,0
